image_path,dataset,foreground_fraction,n_components,largest_component_fraction,sam_score
data\raw\riceleafbd\Bacterial Leaf Blight\310646560_492327916186305_3033082180337223512_n.jpg,riceleafbd,0.09155349794238683,1,0.09155349794238683,0.9931144714355469
data\raw\riceleafbd\Bacterial Leaf Blight\310648809_1276299019880335_3987705849652034683_n.jpg,riceleafbd,0.5494997808459346,1,0.5494997808459346,0.9323732852935791
data\raw\riceleafbd\Bacterial Leaf Blight\310670396_429378569378476_2079842306408630720_n (1).jpg,riceleafbd,0.1696081588835212,1,0.1696081588835212,1.0015277862548828
data\raw\riceleafbd\Bacterial Leaf Blight\310670396_429378569378476_2079842306408630720_n.jpg,riceleafbd,0.1696081588835212,1,0.1696081588835212,1.0015277862548828
data\raw\riceleafbd\Bacterial Leaf Blight\310671193_651962683328428_2392190712301200676_n.jpg,riceleafbd,0.11412422839506173,1,0.11412422839506173,0.987135648727417
data\raw\riceleafbd\Bacterial Leaf Blight\310674255_5604488246310964_3622111877303547733_n (1).jpg,riceleafbd,0.4906409276248726,1,0.4906409276248726,0.9729379415512085
data\raw\riceleafbd\Bacterial Leaf Blight\310674255_5604488246310964_3622111877303547733_n.jpg,riceleafbd,0.4906409276248726,1,0.4906409276248726,0.9729379415512085
data\raw\riceleafbd\Bacterial Leaf Blight\310719042_561579772636310_4450666158229352919_n (1).jpg,riceleafbd,0.04763899885633852,1,0.04763899885633852,0.8748610019683838
data\raw\riceleafbd\Bacterial Leaf Blight\310719042_561579772636310_4450666158229352919_n.jpg,riceleafbd,0.04763899885633852,1,0.04763899885633852,0.8748610019683838
data\raw\riceleafbd\Bacterial Leaf Blight\310732056_882974596404588_3333536589152760246_n.jpg,riceleafbd,0.09679503609722756,1,0.09679503609722756,0.9861648082733154
data\raw\riceleafbd\Bacterial Leaf Blight\310773473_503921111704958_8483945229256166615_n.jpg,riceleafbd,0.9373957614446745,1,0.9373957614446745,0.9593149423599243
data\raw\riceleafbd\Bacterial Leaf Blight\310776944_2271192576395292_6697039548256478756_n.jpg,riceleafbd,0.17157285085200077,1,0.17157285085200077,0.9989028573036194
