image_path,dataset,foreground_fraction,n_components,largest_component_fraction
data\raw\riceleafbd\Bacterial Leaf Blight\311265233_657558655877043_5865489749184376197_n.jpg,riceleafbd,0.6075701293008985,1,0.6075701293008985
data\raw\riceleafbd\Bacterial Leaf Blight\311279607_8500016796705278_1785616972798444820_n.jpg,riceleafbd,0.16095332018408942,1,0.16095332018408942
data\raw\riceleafbd\Bacterial Leaf Blight\311296765_525129705864898_613330793096347451_n.jpg,riceleafbd,0.33612589921193736,1,0.33612589921193736
data\raw\riceleafbd\Bacterial Leaf Blight\311311853_5451057041609361_5671669149495919327_n (1).jpg,riceleafbd,0.5607957748204789,1,0.5607957748204789
data\raw\riceleafbd\Bacterial Leaf Blight\311316953_2333723993468631_1150700993852292418_n.jpg,riceleafbd,0.4840408941258014,1,0.4840408941258014
data\raw\riceleafbd\Bacterial Leaf Blight\311332387_657230612713643_6199394551710473389_n (1).jpg,riceleafbd,0.26997191313229046,1,0.26997191313229046
data\raw\riceleafbd\Bacterial Leaf Blight\311332387_657230612713643_6199394551710473389_n.jpg,riceleafbd,0.26997191313229046,1,0.26997191313229046
data\raw\riceleafbd\Bacterial Leaf Blight\311441515_1079990362543994_6288708335709485111_n.jpg,riceleafbd,0.4166589962743809,1,0.4166589962743809
data\raw\riceleafbd\Bacterial Leaf Blight\311442085_3290982681175106_6220041470786268097_n.jpg,riceleafbd,0.29368870631194577,1,0.29368870631194577
data\raw\riceleafbd\Bacterial Leaf Blight\311453915_3375316629450850_968877061441042640_n.jpg,riceleafbd,0.5267540642953185,1,0.5267540642953185
data\raw\riceleafbd\Bacterial Leaf Blight\311466345_1063398244336523_5655169926138422138_n.jpg,riceleafbd,0.038144642857142856,1,0.038144642857142856
