model,train_dataset,test_dataset,seed,augmentation,in_macro_f1,cross_macro_f1,gap,checkpoint_path
resnet50,brri_rice_disease_pest,dhan_shomadhan,7,strong,0.8272,0.5096,0.3176,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed7.pth
mobilenetv2_100,riceleafbd,dhan_shomadhan,2024,default,0.9296,0.3768,0.5528,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed2024.pth
efficientnet_b0,riceleafbd,dhan_shomadhan,2024,default,0.9065,0.4966,0.4098,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed2024.pth
resnet50,riceleafbd,dhan_shomadhan,2024,default,0.9453,0.4491,0.4962,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed2024.pth
mobilenetv2_100,dhan_shomadhan,riceleafbd,2024,default,0.8091,0.6951,0.114,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024.pth
efficientnet_b0,dhan_shomadhan,riceleafbd,2024,default,0.9177,0.6367,0.2811,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024.pth
resnet50,dhan_shomadhan,riceleafbd,2024,default,0.898,0.599,0.299,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed2024.pth
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,2024,default,0.9903,0.2209,0.7695,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024.pth
efficientnet_b0,riceleafbd,brri_rice_disease_pest,2024,default,1.0,0.346,0.654,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024.pth
resnet50,riceleafbd,brri_rice_disease_pest,2024,default,0.9808,0.5344,0.4464,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed2024.pth
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,2024,default,0.815,0.5978,0.2172,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024.pth
efficientnet_b0,brri_rice_disease_pest,riceleafbd,2024,default,0.8943,0.6546,0.2397,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024.pth
resnet50,brri_rice_disease_pest,riceleafbd,2024,default,0.7829,0.2866,0.4963,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed2024.pth
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,2024,default,0.6543,0.3217,0.3326,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024.pth
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,2024,default,0.6192,0.2231,0.3961,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024.pth
resnet50,dhan_shomadhan,brri_rice_disease_pest,2024,default,0.6085,0.3939,0.2146,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024.pth
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,2024,default,0.6936,0.3806,0.313,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024.pth
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,2024,default,0.7482,0.3609,0.3873,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024.pth
resnet50,brri_rice_disease_pest,dhan_shomadhan,2024,default,0.7809,0.5615,0.2194,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024.pth
mobilenetv2_100,riceleafbd,dhan_shomadhan,2024,strong,0.9686,0.4436,0.525,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024.pth
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,2024,strong,0.6639,0.3663,0.2976,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
resnet50,dhan_shomadhan,brri_rice_disease_pest,2024,strong,0.6069,0.4913,0.1156,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,2024,strong,0.746,0.3811,0.3649,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,2024,strong,0.7732,0.4533,0.3199,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
resnet50,brri_rice_disease_pest,dhan_shomadhan,2024,strong,0.8244,0.5392,0.2852,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth
