run_id,experiment_type,model,train_datasets,eval_dataset,classes,split_seed,train_seed,augmentation,status,checkpoint_path,predictions_path,started_at,completed_at
mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed2024__eval-brri_rice_disease_pest__aug-strong,transfer_aug,mobilenetv2_100,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,2024,strong,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed2024.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T18:11:58.919062+00:00,2026-07-21T18:15:19.635318+00:00
efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed2024__eval-brri_rice_disease_pest__aug-strong,transfer_aug,efficientnet_b0,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,2024,strong,complete,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed2024.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T18:15:19.669967+00:00,2026-07-21T18:18:40.085197+00:00
resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed2024__eval-brri_rice_disease_pest__aug-strong,transfer_aug,resnet50,riceleafbd,brri_rice_disease_pest,healthy|tungro,42,2024,strong,complete,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed2024.pth,results/predictions/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T18:18:40.116639+00:00,2026-07-21T18:21:07.867382+00:00
mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed2024__eval-riceleafbd__aug-strong,transfer_aug,mobilenetv2_100,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,2024,strong,complete,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed2024.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__eval-riceleafbd__seed2024.csv,2026-07-21T18:21:07.902917+00:00,2026-07-21T18:24:58.171759+00:00
efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed2024__eval-riceleafbd__aug-strong,transfer_aug,efficientnet_b0,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,2024,strong,complete,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed2024.pth,results/predictions/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__eval-riceleafbd__seed2024.csv,2026-07-21T18:24:58.204495+00:00,2026-07-21T18:31:44.546850+00:00
resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed2024__eval-riceleafbd__aug-strong,transfer_aug,resnet50,brri_rice_disease_pest,riceleafbd,healthy|tungro,42,2024,strong,complete,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed2024.pth,results/predictions/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__eval-riceleafbd__seed2024.csv,2026-07-21T18:31:44.580473+00:00,2026-07-21T18:35:44.549496+00:00
mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024__eval-brri_rice_disease_pest__aug-strong,transfer_aug,mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,2024,strong,complete,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T18:35:44.586210+00:00,2026-07-21T18:42:32.122701+00:00
efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024__eval-brri_rice_disease_pest__aug-strong,transfer_aug,efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,2024,strong,complete,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T18:42:32.156701+00:00,2026-07-22T13:42:57.220836+00:00
resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024__eval-brri_rice_disease_pest__aug-strong,transfer_aug,resnet50,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,2024,strong,complete,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__eval-brri_rice_disease_pest__seed2024.csv,2026-07-22T13:42:57.246358+00:00,2026-07-22T14:01:31.143330+00:00
mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024__eval-dhan_shomadhan__aug-strong,transfer_aug,mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,2024,strong,complete,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed2024.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,2026-07-22T14:01:31.171280+00:00,2026-07-22T14:13:18.756167+00:00
